Date,Price,Open,High,Low,Vol.,Change %,,,,,Date,Price,Change %,Helper,Event Time
2/18/2020,"1,043.39","1,039.82","1,046.13","1,036.90",259.68M,0.08%,,,,,6/5/2019,894.97,0.44%,208,-160
2/14/2020,"1,042.54","1,047.22","1,048.18","1,039.88",227.26M,-0.17%,,,,,6/6/2019,899.4,0.49%,207,-159
2/13/2020,"1,044.33","1,041.36","1,049.13","1,039.74",256.55M,-0.24%,,,,,6/7/2019,913.6,1.58%,206,-158
2/12/2020,"1,046.86","1,042.06","1,048.04","1,041.33",320.42M,0.99%,,,,,6/10/2019,923.23,1.05%,205,-157
2/11/2020,"1,036.64","1,033.05","1,042.22","1,030.62",313.29M,0.77%,,,,,6/11/2019,926.32,0.33%,204,-156
2/10/2020,"1,028.76","1,015.81","1,028.78","1,015.66",251.33M,1.26%,,,,,6/12/2019,925.32,-0.11%,203,-155
2/7/2020,"1,016.00","1,014.20","1,021.27","1,011.05",303.35M,-0.29%,,,,,6/13/2019,933.63,0.90%,202,-154
2/6/2020,"1,018.97","1,022.71","1,022.71","1,018.43",279.31M,-0.16%,,,,,6/14/2019,935.89,0.24%,201,-153
2/5/2020,"1,020.57","1,022.54","1,023.86","1,013.72",390.01M,0.50%,,,,,6/17/2019,936.83,0.10%,200,-152
2/4/2020,"1,015.54","1,009.65","1,019.85","1,009.30",342.30M,1.76%,,,,,6/18/2019,943.84,0.75%,199,-151
2/3/2020,997.96,997.1,"1,011.07",997.1,297.06M,0.60%,,,,,6/19/2019,946.09,0.24%,198,-150
